"filename", "language", "YAML", "Go Module File", "Dotenv", "Docker", "Go Work File", "Go", "Python", "Makefile", "Ignore", "Go Checksum File", "Shell Script", "JSON", "TypeScript", "HTML", "Properties", "JavaScript", "vue", "JSON with Comments", "PostCSS", "XML", "comment", "blank", "total"
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/admin/AdminLayout.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 2, 11, 140
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/admin/CapacitacionesView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 565, 0, 0, 0, 0, 50, 615
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/admin/ExamenesView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 292, 0, 0, 0, 0, 29, 321
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/admin/UsuariosView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 271, 0, 0, 0, 0, 27, 298
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/instructor/CapacitacionesInstructor.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 226, 0, 0, 0, 0, 26, 252
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/instructor/EstudiantesView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 267, 0, 0, 0, 0, 19, 286
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/instructor/ExamenesInstructor.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 705, 0, 0, 0, 1, 64, 770
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/instructor/InstructorLayout.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 2, 11, 144
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/instructor/InstructorPerfilView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 20, 275
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/shared/MensajesView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1136, 0, 0, 0, 23, 104, 1263
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/shared/PublicProfileView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 299, 0, 0, 0, 0, 38, 337
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/DashboardView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 363, 0, 0, 0, 3, 27, 393
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/ExamenFormView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 481, 0, 0, 0, 11, 29, 521
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/MisCapacitaciones.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 890, 0, 0, 0, 2, 86, 978
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/MisExamenes.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 378, 0, 0, 0, 12, 36, 426
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/PerfilView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 518, 0, 0, 0, 9, 39, 566
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/ResponderExamen.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 4, 18, 212
